,2,3,24,25
656,52,53,50,100
657,48,51,56,53
658,102,102,48,49
659,102,102,48,49
660,57,97,50,50
661,102,102,48,49
662,54,102,102,56
663,48,48,100,100
664,50,102,55,99
665,102,102,48,49
666,52,53,55,51
667,48,51,97,50
668,51,52,48,48
669,48,48,100,100
670,48,48,100,100
671,48,48,100,100
672,48,48,100,100
673,48,55,97,99
674,99,99,55,99
675,53,53,54,100
676,102,102,48,49
677,48,51,54,97
678,52,102,98,54
679,102,102,48,49
680,102,102,48,49
681,51,98,48,97
682,52,53,50,100
683,97,53,102,51
684,102,102,48,49
685,48,48,100,100
686,102,102,48,49
687,48,56,100,100
688,52,53,55,51
689,48,56,100,100
690,52,53,55,51
691,52,53,50,100
692,48,48,100,100
693,48,51,51,55
694,102,102,48,49
695,48,48,100,100
696,52,53,50,100
697,48,51,57,54
698,102,102,48,49
699,48,51,100,97
700,102,102,48,49
701,50,98,56,97
702,48,51,50,54
703,53,53,54,100
704,48,48,48,48
705,48,48,100,100
706,53,55,50,49
707,48,48,100,100
708,102,102,48,49
709,48,49,100,100
710,102,102,48,49
711,50,54,48,99
712,48,48,100,100
713,99,48,102,52
714,102,102,48,49
715,53,52,50,48
716,48,55,102,52
717,52,53,55,51
718,48,51,57,99
719,48,48,100,100
720,102,102,48,49
721,48,49,100,100
722,48,48,100,100
723,48,57,100,100
724,48,48,100,100
725,102,57,53,97
726,102,102,48,49
727,50,55,49,100
728,48,56,100,100
729,53,53,54,100
730,48,51,54,55
731,52,53,50,100
732,48,48,100,100
733,48,51,97,100
734,48,51,56,52
735,48,51,97,99
736,102,102,48,49
737,52,53,50,100
738,102,102,48,49
739,48,48,100,100
740,48,51,102,100
741,102,102,48,49
742,50,57,54,102
743,48,48,100,100
744,102,102,48,49
745,48,48,100,100
746,48,56,100,100
747,48,48,100,100
748,48,48,100,100
749,53,50,54,53
750,52,53,50,100
751,48,48,100,100
752,48,51,48,51
753,48,48,100,100
754,48,51,52,98
755,52,53,55,51
756,48,51,50,56
757,48,48,100,100
758,48,48,100,100
759,102,102,48,49
760,52,53,50,100
761,52,53,55,51
762,51,51,100,99
763,48,49,100,100
764,48,48,100,100
765,48,51,53,48
766,48,49,100,100
767,48,49,53,57
768,102,102,48,49
769,51,52,48,48
770,53,102,52,102
771,48,51,54,49
772,100,57,100,99
773,48,48,100,100
774,48,48,100,100
775,52,53,54,100
776,55,49,52,98
777,52,53,50,100
778,48,48,100,100
779,49,97,101,98
780,50,50,52,57
781,102,102,48,49
782,48,48,48,48
783,48,51,57,57
784,48,48,100,100
785,48,57,100,100
786,102,102,48,49
787,53,53,54,100
788,48,48,100,100
789,48,48,100,100
790,48,48,100,100
791,102,102,48,49
792,48,49,100,100
793,50,100,53,52
794,48,48,100,100
795,50,99,50,48
796,102,102,48,49
797,48,56,100,100
798,55,48,51,52
799,102,102,48,49
800,57,99,52,102
801,53,101,99,56
802,48,48,100,100
803,48,48,100,100
804,48,57,100,100
805,48,56,100,100
806,48,51,53,48
807,102,102,48,49
808,52,53,50,100
809,48,48,100,100
810,48,48,100,100
811,49,52,51,49
812,53,53,54,100
813,100,98,48,48
814,48,48,100,100
815,57,55,100,101
816,53,98,99,102
817,48,48,100,100
818,53,53,54,100
819,48,48,100,100
820,48,51,52,53
821,48,51,52,55
822,48,48,100,100
823,48,57,100,100
824,50,50,52,57
825,102,102,48,49
826,53,52,50,48
827,48,48,100,100
828,48,48,100,100
829,55,57,57,100
830,52,53,55,51
831,102,102,48,49
832,48,51,101,50
833,48,51,53,102
834,48,48,100,100
835,48,48,100,100
836,48,48,100,100
837,51,52,48,48
838,102,102,48,49
839,48,48,100,100
840,48,57,100,100
841,102,102,48,49
842,48,48,100,100
843,48,48,100,100
844,48,55,97,99
845,102,102,48,49
846,51,52,48,48
847,102,102,48,49
848,48,48,100,100
849,52,53,50,100
850,102,102,48,49
851,48,48,100,100
852,53,52,50,48
853,48,56,100,100
854,48,48,100,100
855,51,100,55,57
856,48,48,100,100
857,48,51,52,52
858,48,48,100,100
859,48,49,100,100
860,48,56,100,100
861,102,102,48,49
862,50,100,53,52
863,49,57,56,50
864,48,48,100,100
865,48,48,100,100
866,48,48,48,48
867,50,50,52,57
868,48,48,100,100
869,100,54,49,52
870,48,48,100,100
871,48,48,100,100
872,48,56,100,100
873,51,99,49,99
874,48,48,100,100
875,102,102,48,49
876,52,53,50,100
877,48,48,100,100
878,102,102,48,49
879,102,102,48,49
880,48,48,100,100
881,53,52,50,48
882,51,100,101,48
883,48,48,100,100
884,48,56,100,100
885,48,48,100,100
886,52,54,51,97
887,55,57,49,98
888,53,53,54,100
889,48,51,49,57
890,102,102,48,49
891,102,102,48,49
892,48,48,100,100
893,48,48,100,100
894,56,48,50,99
895,53,55,101,50
896,102,102,48,49
897,48,56,100,100
898,48,48,100,100
899,99,51,100,50
900,102,102,48,49
901,53,52,50,48
902,48,48,100,100
903,102,102,48,49
904,48,51,49,49
905,48,48,100,100
906,48,49,100,100
907,48,49,100,100
908,50,50,52,57
909,48,48,100,100
910,48,48,100,100
911,48,51,54,98
912,52,53,55,51
913,50,50,52,57
914,48,48,100,100
915,51,99,101,53
916,48,51,51,99
917,98,48,98,98
918,48,48,100,100
919,102,102,48,49
920,51,53,50,50
921,48,48,100,100
922,102,102,48,49
923,48,51,101,49
924,48,48,100,100
925,48,51,99,48
926,102,102,48,49
927,102,102,48,49
928,48,48,100,100
929,48,48,100,100
930,48,49,100,100
931,102,102,48,49
932,48,57,100,100
933,52,53,50,100
934,99,52,100,56
935,48,48,48,48
936,48,48,100,100
937,50,50,52,57
938,52,53,55,51
939,49,100,98,55
940,48,48,100,100
941,48,48,100,100
942,48,48,100,100
943,102,102,48,49
944,102,102,48,49
945,48,51,49,50
946,48,48,100,100
947,52,54,99,102
948,50,97,50,97
949,48,49,100,100
950,102,102,48,49
951,48,57,100,100
952,102,102,48,49
953,53,53,54,100
954,50,54,100,50
955,57,52,54,52
956,102,102,100,100
957,48,48,100,100
958,48,51,49,53
959,48,51,48,100
960,52,50,55,55
961,48,48,100,100
962,102,102,48,49
963,48,48,100,100
964,48,55,97,99
965,102,102,48,49
966,48,48,100,100
967,50,50,52,57
968,102,102,48,49
969,102,102,48,49
970,48,51,56,56
971,55,56,98,101
972,48,51,52,99
973,102,99,100,98
974,102,102,48,49
975,48,51,102,57
976,48,51,53,50
977,48,55,97,99
978,99,52,99,100
979,52,53,50,100
980,48,51,55,54
981,102,102,48,49
982,102,102,48,49
983,48,48,100,100
984,48,48,100,100
985,98,53,49,52
986,102,102,48,49
987,48,48,100,100
988,50,50,52,57
989,48,48,100,100
990,48,48,100,100
991,48,48,100,100
992,53,102,48,51
993,102,102,48,49
994,102,102,48,49
995,102,102,48,49
996,50,50,52,57
997,48,48,100,100
998,100,99,50,100
999,50,50,52,57
1000,102,102,48,49
1001,48,48,100,100
1002,48,51,55,56
1003,102,102,48,49
1004,101,52,48,49
1005,51,53,99,52
1006,50,50,52,57
1007,48,49,53,57
1008,48,48,100,100
1009,101,100,55,55
1010,48,51,56,99
1011,102,102,48,49
1012,48,48,100,100
1013,99,98,48,53
1014,53,53,54,100
1015,51,52,48,48
1016,102,102,48,49
1017,48,56,100,100
1018,101,100,102,98
1019,102,102,48,49
1020,48,48,48,48
1021,53,52,50,48
1022,48,51,49,54
1023,48,48,100,100
1024,48,51,53,57
1025,52,53,55,51
1026,48,48,100,100
1027,48,51,98,56
1028,98,52,101,50
1029,48,51,52,51
1030,48,48,100,100
1031,100,102,98,97
1032,102,102,48,49
1033,52,101,55,50
1034,48,48,100,100
1035,52,53,55,51
1036,102,102,48,49
1037,53,52,50,48
1038,48,48,100,100
1039,54,56,98,50
1040,48,51,99,50
1041,102,102,48,49
1042,99,50,51,51
1043,48,51,48,56
1044,48,51,49,56
1045,48,48,100,100
1046,48,48,100,100
1047,102,102,48,49
1048,50,50,52,57
1049,52,53,50,100
1050,48,56,100,100
1051,102,102,48,49
1052,48,48,100,100
1053,102,102,48,49
1054,57,56,55,57
1055,48,48,100,100
1056,53,52,50,48
1057,48,51,51,54
1058,48,48,100,100
1059,48,48,100,100
1060,53,99,49,98
1061,48,48,100,100
1062,48,48,100,100
1063,102,102,48,49
1064,48,51,57,97
1065,52,53,50,100
1066,48,48,100,100
1067,48,53,52,98
1068,48,51,52,51
1069,48,56,100,100
1070,52,53,55,51
1071,48,48,100,100
1072,99,49,55,56
1073,48,51,100,50
1074,56,54,48,52
1075,48,48,100,100
1076,48,48,100,100
1077,51,52,48,48
1078,102,102,48,49
1079,102,102,48,49
1080,102,102,48,49
1081,48,51,100,51
1082,48,55,97,99
1083,51,52,48,48
1084,51,100,101,52
1085,48,48,100,100
1086,102,102,48,49
1087,50,52,101,49
1088,48,51,98,99
1089,53,53,54,100
1090,102,102,48,49
1091,50,56,57,51
1092,52,53,55,51
1093,48,48,100,100
1094,48,49,100,100
1095,48,48,100,100
1096,48,48,100,100
1097,52,101,101,102
1098,48,51,55,50
1099,50,50,52,57
1100,48,48,100,100
1101,99,51,51,57
1102,102,102,48,49
1103,48,48,100,100
1104,49,48,56,99
1105,51,49,49,97
1106,48,48,100,100
1107,102,102,48,49
1108,48,49,100,100
1109,48,48,100,100
1110,48,48,100,100
1111,48,48,100,100
1112,48,48,100,100
1113,48,51,50,53
1114,48,48,100,100
1115,53,52,50,48
1116,48,48,100,100
1117,51,101,55,51
1118,102,102,48,49
1119,48,48,100,100
1120,48,51,98,99
1121,53,100,50,53
1122,53,52,50,48
1123,52,53,50,100
1124,48,57,100,100
1125,48,48,100,100
1126,102,102,48,49
1127,102,102,48,49
1128,55,57,99,102
1129,50,50,52,57
1130,102,102,48,49
1131,57,49,52,99
1132,53,53,54,100
1133,48,48,100,100
1134,102,102,48,49
1135,48,48,100,100
1136,48,51,55,55
1137,102,54,54,53
1138,48,48,100,100
1139,48,48,100,100
1140,48,48,100,100
1141,55,52,48,54
1142,48,48,100,100
1143,54,54,48,52
1144,53,53,54,100
1145,48,48,100,100
1146,55,101,102,53
1147,48,48,100,100
1148,102,102,48,49
1149,48,48,100,100
1150,102,102,48,49
1151,48,48,100,100
1152,102,102,48,49
1153,48,48,100,100
1154,48,57,100,100
1155,102,57,48,99
1156,54,52,98,54
1157,98,48,101,49
1158,48,48,100,100
1159,53,53,54,100
1160,48,51,51,99
1161,102,102,48,49
1162,48,52,97,57
1163,50,97,57,53
1164,56,99,100,48
1165,50,50,52,57
1166,48,48,100,100
1167,50,50,52,57
1168,55,100,100,102
1169,102,102,48,49
1170,48,56,100,100
1171,48,51,100,52
1172,48,48,100,100
1173,48,49,100,100
1174,48,48,100,100
1175,53,52,50,48
1176,48,48,100,100
1177,48,48,100,100
1178,102,102,48,49
1179,48,48,100,100
1180,48,51,52,97
1181,48,49,100,100
1182,48,48,100,100
1183,53,53,54,100
1184,48,51,54,100
1185,48,51,57,53
1186,48,49,100,100
1187,48,48,100,100
1188,53,52,50,48
1189,52,98,100,97
1190,102,102,48,49
1191,48,48,100,100
1192,50,99,48,52
1193,48,48,100,100
1194,102,102,48,49
1195,53,52,50,48
1196,48,48,100,100
1197,57,48,54,48
1198,102,102,48,49
1199,50,50,52,57
1200,57,48,52,50
1201,48,48,100,100
1202,48,48,100,100
1203,48,48,100,100
1204,48,48,100,100
1205,102,102,48,49
1206,48,48,100,100
1207,52,53,50,100
1208,48,48,100,100
1209,50,57,102,101
1210,48,48,49,97
1211,53,52,50,48
1212,52,53,55,51
1213,52,53,55,51
1214,53,52,50,48
1215,48,51,55,98
1216,48,48,100,100
1217,53,102,49,54
1218,48,48,100,100
1219,48,57,100,100
1220,48,48,100,100
1221,49,52,52,97
1222,102,102,48,49
1223,48,55,97,99
1224,102,102,48,49
1225,50,56,54,97
1226,52,53,50,100
1227,48,48,100,100
1228,48,48,100,100
1229,48,51,101,52
1230,102,102,48,49
1231,102,102,48,49
1232,102,102,48,49
1233,48,48,100,100
1234,102,102,48,49
1235,48,48,100,100
1236,101,98,97,97
1237,53,52,50,48
1238,48,48,100,100
1239,102,56,99,55
1240,53,52,50,48
1241,52,53,55,51
1242,48,55,97,99
1243,48,48,100,100
1244,53,53,54,100
1245,48,56,100,100
1246,48,48,100,100
1247,102,102,48,49
1248,48,48,100,100
1249,102,101,102,51
1250,48,51,50,99
1251,102,102,48,49
1252,48,51,52,97
1253,48,48,100,100
1254,101,52,56,102
1255,54,57,51,48
1256,48,48,100,100
1257,53,100,56,48
1258,48,48,100,100
1259,48,51,97,53
1260,48,56,100,100
1261,48,51,53,49
1262,52,53,55,51
1263,48,48,100,100
1264,48,48,100,100
1265,56,53,54,99
1266,53,52,50,48
1267,48,49,100,100
1268,48,56,100,100
1269,53,50,101,48
1270,48,51,98,54
1271,48,48,100,100
1272,48,56,100,100
1273,48,48,100,100
1274,53,101,50,100
1275,48,51,49,48
1276,48,51,55,51
1277,52,53,55,51
1278,48,48,100,100
1279,48,48,100,100
1280,48,48,100,100
1281,55,101,53,100
1282,48,48,100,100
1283,48,48,100,100
1284,48,48,100,100
1285,48,51,101,55
1286,51,99,56,57
1287,56,53,55,50
1288,102,102,48,49
1289,99,51,50,51
1290,57,102,51,98
1291,99,101,56,49
1292,48,48,100,100
1293,100,53,100,99
1294,48,48,100,100
1295,48,48,100,100
1296,48,51,102,54
1297,48,48,100,100
1298,52,53,50,100
1299,102,102,48,49
1300,48,49,100,100
1301,52,53,55,51
1302,48,51,57,55
1303,102,102,48,49
1304,48,57,100,100
1305,53,52,50,48
1306,50,50,52,57
1307,52,53,55,51
1308,48,57,100,100
1309,102,102,48,49
1310,53,52,50,48
1311,55,101,97,50
1312,52,53,55,51
1313,48,48,100,100
1314,48,51,57,102
1315,48,57,100,100
1316,102,102,48,49
1317,102,102,48,49
1318,102,102,48,49
1319,48,48,100,100
1320,48,48,100,100
1321,48,48,100,100
1322,48,57,100,100
1323,48,48,100,100
1324,48,48,100,100
1325,48,48,100,100
1326,48,56,100,100
1327,102,102,48,49
1328,102,102,48,49
1329,48,51,52,54
1330,102,102,48,49
1331,48,48,100,100
1332,48,48,100,100
1333,51,52,48,48
1334,51,53,51,48
1335,53,53,54,100
1336,48,48,100,100
1337,49,51,49,97
1338,102,102,48,49
1339,102,102,48,49
1340,52,53,55,51
1341,53,52,50,48
1342,102,102,48,49
1343,48,48,100,100
1344,55,98,99,55
1345,48,51,102,53
1346,52,53,55,51
1347,102,102,48,49
1348,48,48,100,100
1349,48,48,100,100
1350,99,52,97,100
1351,102,102,48,49
1352,48,48,100,100
1353,56,48,56,99
1354,48,57,100,100
1355,48,48,100,100
1356,48,51,48,102
1357,50,50,50,50
1358,48,48,100,100
1359,48,49,100,100
1360,48,56,100,100
